id,brand,model,variants,segment,price,batteryKwh,rangeKm,rangeStandard,batteryType,acCharging,dcCharging,clearanceMm,vehicleWarranty,batteryWarranty,motorWarranty,distributor,sourceUrl,officialSourceUrl,sourceTier,checkedAt
"gwm-ora03","GWM","ORA 03","","Hatchback","4749000","47.88","400","NEDC","","11 kW","","","8 years or 160000km","","3 years or 125000km","VG Impex Pvt. Ltd.","https://www.ev-nepal.com/cars/gwm-ora-03-price-in-nepal","","market-directory","2026-07-27"
"forthing-friday","Forthing","Friday EV","","SUV","4896999","64.4","400","WLTP","","8hrs-12hrs slow charging time (from 0% to 100% SOC)","10-80% in 45mins fast charging time (from 30% to 80% SOC)","","5 years or 150,000 kms, whichever comes first","","","","https://www.ev-nepal.com/cars/forthing-friday-price-in-nepal","","market-directory","2026-07-27"
"byd-atto2","BYD","ATTO 2","","SUV","4899000","51.13","345","WLTP","BYD Blade Battery","","","200","","","","Cimex Inc. Pvt. Ltd.","https://www.ev-nepal.com/cars/byd-atto-2-price-in-nepal","https://www.byd.com/np","official-source-linked","2026-07-27"
"suzuki-evitara","Suzuki","e VITARA","Delta · Zeta · Alpha","SUV","4899000","49","346","WLTP","Lithium Ferrophosphate (LFP)","~6.5 hrs","10-80% in 45 min","185","","","","CG Motocorp Pvt. Ltd.","https://www.ev-nepal.com/cars/suzuki-e-vitara-price-in-nepal","","market-directory","2026-07-27"
"tata-nexon","Tata","Nexon K3.ev","","SUV","4899000","30.2","312","ARAI","","7.2 / 6 hrs 36 min (7.2kW AC), 17 hrs 36 min (15A/AC home)","60 / 10-80% in 40 minutes","190","3 Year or 1,25,000 km (whichever is earlier)","","8 Year or 1,60,000 km (whichever is earlier)","Sipradi Trading Pvt. Ltd.","https://www.ev-nepal.com/cars/tata-nexon-ev-price-in-nepal","https://cars.tatamotors.com.np/","official-source-linked","2026-07-27"
"leapmotor-b10","Leapmotor","B10","Life · Design","SUV","4999000","56.2","380","WLTP","LFP","6.8 h","140","","4 years or 100K kms overall vehicle, including e-power train","","","Shangrila Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/leapmotor-b10-price-in-nepal","https://www.leapmotornepal.com/","official-source-linked","2026-07-27"
"seres-3","Seres","3","Comfort · Premium","SUV","4999000","52.7","405","WLTP","","14 hours (3.3 kW)","","","8 years","","8 years","","https://www.ev-nepal.com/cars/seres-3-price-in-nepal","","market-directory","2026-07-27"
"omoda-e5","Omoda","E5 Pro","","SUV","5159000","61","430","WLTP","Lithium Iron Phosphate (LiFePO4)","6.6kW Single Phase / 9.9kW Three Phase","80kW / 10-80% in 28min","","6 years / 150,000 Kms","","","SPG Automobiles Pvt. Ltd.","https://www.ev-nepal.com/cars/omoda-e5-price-in-nepal","https://omodajaecoonepal.com/price","official-source-linked","2026-07-27"
"hyundai-creta","Hyundai","Creta Electric","Executive · Smart · Premium+","SUV","5196000","42","390","MIDC","Liquid cooled lithium ion battery pack (NMC)","11 kW / 4 hours (10% to 100%) with 420 voltage","50 kW / 10-80% in 58 min","200","8 Years / 1 60 000 km","","","Laxmi Intercontinental Pvt. Ltd.","https://www.ev-nepal.com/cars/hyundai-creta-ev-price-in-nepal","https://laxmihyundai.com/price-list","official-source-linked","2026-07-27"
"mahindra-xuv400","Mahindra","XUV400","","SUV","5250000","39.4","456","MIDC","High energy density Lithium-ion","3.3 kW / 7.2 kW / 13.5 hours (3.3 kW, home) / 6.5 hours (7.2 kW, home)","50 kW / 10-80% in 50 minutes","","3 years or unlimited km","","8 years or 1,60,000 km (whichever is earlier)","Agni Incorporated Pvt. Ltd.","https://www.ev-nepal.com/cars/mahindra-xuv400-price-in-nepal","","market-directory","2026-07-27"
